MNI Coordinates,,,
,,,
Brain Atlas,Coordinate System,Projection Method,
MNI ICBM 152 nonlinear asymmetric 2009a,MNI Coordinate System,Scalp Projection,
,,,
Fiducial,x-Coordinate,y-Coordinate,z-Coordinate
Nz,-1.85,84.49,-36.31
Iz,-1.05,-117.78,-24.66
RPA,80.47,-17.32,-55.85
LPA,-81.97,-17.57,-54.74
Cz,0.4,-10.62,96.37
,,,
Optode,x-Coordinate,y-Coordinate,z-Coordinate
Rx1,-55.8,-82.17,53.72
Rx2,-72.35,-76.23,9.56
Rx3,-75.78,-37.22,53.56
Rx4,-83.72,-43.37,7.8
Rx5,-49.72,24.55,63.86
Rx6,-47.3,57.83,33.28
Rx7,-75.98,12.38,25.32
Rx8,-66.43,41.27,14.81
Rx9,54.64,-75.9,60.06
Rx10,71.55,-73.49,12.47
Rx11,74.19,-36.61,52.77
Rx12,81.87,-41.88,10.92
Rx13,44.11,16.51,71.49
Rx14,44.48,55.36,38.55
Rx15,72.95,11.62,31.25
Rx16,63.58,37.19,25.48
,,,
Optode,x-Coordinate,y-Coordinate,z-Coordinate
Tx1,-54.48,-93.77,34.32
Tx2,-57.41,-42.62,76.89
Tx3,-74.68,-64.51,35.05
Tx4,-76.72,-65.16,-17.33
Tx5,-83.08,-23.85,32.28
Tx6,-42.92,48.52,51.35
Tx7,-68.6,2.06,53.24
Tx8,-62.18,33.82,38.2
Tx9,-49.54,64.32,12.22
Tx10,-76.84,15.19,0.82
Tx11,51.08,-94.33,35.76
Tx12,68.57,-37.19,62.33
Tx13,74.4,-58.17,37.73
Tx14,76.08,-61.22,-13.83
Tx15,80.65,-24.33,33.69
Tx16,38.48,41.42,59.96
Tx17,71.13,8.63,39.76
Tx18,57.81,28.6,47.91
Tx19,49.63,60.82,16.77
Tx20,74.81,15.35,6.86
,,,
Channel,x-Coordinate,y-Coordinate,z-Coordinate
Rx1 - Tx1,-55.1,-88.33,45.22
Rx1 - Tx2,-57.77,-64.24,68.96
Rx1 - Tx3,-66.74,-74.27,44.94
Rx2 - Tx1,-64.06,-87.21,22.71
Rx2 - Tx3,-74.03,-70.39,22.15
Rx2 - Tx4,-74.5,-72.51,-4.17
Rx3 - Tx2,-66.83,-38.1,67.53
Rx3 - Tx3,-76.62,-50.12,45.47
Rx4 - Tx3,-78.91,-56.97,19.86
Rx4 - Tx4,-79.82,-55.39,-3.7
Rx3 - Tx5,-80.19,-30.65,43.64
Rx4 - Tx5,-85.22,-31.98,20.59
Rx5 - Tx7,-59.31,13.24,59.63
Rx5 - Tx6,-45.83,36.49,59.13
Rx5 - Tx8,-55.83,29.64,52.71
Rx7 - Tx7,-73.29,4.85,42.27
Rx7 - Tx8,-69.71,23.61,33.44
Rx7 - Tx10,-76.95,13.8,13.1
Rx6 - Tx6,-44.87,55.51,40.78
Rx6 - Tx8,-55.77,45.34,36.27
Rx8 - Tx8,-64.39,38.28,27.07
Rx8 - Tx10,-72.74,28.98,9.54
Rx6 - Tx9,-48.73,61.96,21.71
Rx8 - Tx9,-59.67,51.92,13.93
Rx9 - Tx11,54.25,-86.06,47.21
Rx11 - Tx12,70.81,-37.26,58.82
Rx9 - Tx13,66.66,-68.72,47.87
Rx11 - Tx11,63.07,-85.46,23.95
Rx11 - Tx13,73.57,-65.46,26.83
Rx11 - Tx14,73.12,-70.89,-1.33
Rx12 - Tx15,77.44,-27.95,45.55
Rx11 - Tx13,75.26,-48.36,44.63
Rx12 - Tx13,78.08,-51.23,25.25
Rx12 - Tx14,78.31,-54.08,0.11
Rx12 - Tx15,82.9,-31.13,23.31
Rx13 - Tx16,43.51,29.65,64.46
Rx13 - Tx18,51.88,23.8,59.66
Rx14 - Tx16,42.02,48.5,50.19
Rx14 - Tx18,51.97,41.93,43.93
Rx14 - Tx19,48.39,57.73,27.52
Rx15 - Tx18,66.55,21.34,38.67
Rx15 - Tx20,73.39,16.38,22.14
Rx16 - Tx18,60.93,32.75,37.83
Rx16 - Tx19,56.99,49.01,22.62
Rx16 - Tx20,69.05,29.9,19.87
Rx15 - Tx17,73.4,8.52,32.9
