Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name
arith,19.0,1.3689862884919858e-11,3.1970563925324216e-07,5.346463835173113e-06,-7.656357715554047,-4.093443963535834e-05,1,1,hbo,True,S1_D1 hbo
arith1,19.0,1.3689862884919858e-11,0.25693565491042275,5.34516985610643e-06,1.1688112976687899,6.247494915775854e-06,1,1,hbo,False,S1_D1 hbo
constant_run1,19.0,1.3689862884919858e-11,0.2385442478823144,7.0204491142071315e-06,-1.2168955412428637,-8.54315322460107e-06,1,1,hbo,False,S1_D1 hbo
constant_run2,19.0,1.3689862884919858e-11,0.01609310496479721,7.426490367407629e-06,2.6414560332452544,1.961674778682665e-05,1,1,hbo,True,S1_D1 hbo
constant_run3,19.0,1.3689862884919858e-11,0.600474165528291,7.408325972663125e-06,-0.5326154104979762,-3.945788579032789e-06,1,1,hbo,False,S1_D1 hbo
constant_run4,19.0,1.3689862884919858e-11,0.003945147994732746,7.563952357862056e-06,3.2792836920761443,2.4804345614777938e-05,1,1,hbo,True,S1_D1 hbo
control,19.0,1.3689862884919858e-11,0.00024841746856805417,5.347828159747288e-06,-4.494227620692072,-2.403435702625112e-05,1,1,hbo,True,S1_D1 hbo
drift_1_run1,19.0,1.3689862884919858e-11,0.2909995858165588,0.0002558045517892338,-1.086153772478951,-0.0002778430789431635,1,1,hbo,False,S1_D1 hbo
drift_1_run2,19.0,1.3689862884919858e-11,0.7077211338445843,0.00027848076488388963,0.3806010695889556,0.00010599007697475886,1,1,hbo,False,S1_D1 hbo
drift_1_run3,19.0,1.3689862884919858e-11,0.013120198955196944,0.00027881963494190095,2.736245194552857,0.0007629188862567584,1,1,hbo,True,S1_D1 hbo
drift_1_run4,19.0,1.3689862884919858e-11,0.13078024341240377,0.0002903187317184595,1.5792620117436595,0.00045848934430056215,1,1,hbo,False,S1_D1 hbo
drift_2_run1,19.0,1.3689862884919858e-11,0.00011303552698963129,0.0002351102591526181,-4.8428561830216745,-0.0011386051722290847,1,1,hbo,True,S1_D1 hbo
drift_2_run2,19.0,1.3689862884919858e-11,0.6708476497910185,0.00026410023218289544,-0.43165918754655447,-0.00011400129165492505,1,1,hbo,False,S1_D1 hbo
drift_2_run3,19.0,1.3689862884919858e-11,0.013341674529682079,0.0002645525239332646,-2.7285108722929046,-0.0007218344378444412,1,1,hbo,True,S1_D1 hbo
drift_2_run4,19.0,1.3689862884919858e-11,0.5053930471702849,0.0002799050557867221,0.678891243709497,0.0001900250914436239,1,1,hbo,False,S1_D1 hbo
drift_3_run1,19.0,1.3689862884919858e-11,0.0007740401290485782,0.0002440930551930276,-3.995538842339563,-0.0009752832831690766,1,1,hbo,True,S1_D1 hbo
drift_3_run2,19.0,1.3689862884919858e-11,0.792271599415375,0.0002630911556087709,0.2670976334256077,7.0271025038311e-05,1,1,hbo,False,S1_D1 hbo
drift_3_run3,19.0,1.3689862884919858e-11,0.7799994564385061,0.00026387987229368863,-0.2833147729437164,-7.476106610330328e-05,1,1,hbo,False,S1_D1 hbo
drift_3_run4,19.0,1.3689862884919858e-11,0.09009805542743897,0.000273771797947879,1.7858293088462418,0.0004889097007108538,1,1,hbo,False,S1_D1 hbo
